"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","Drug1","Drug2","code_3letter1","code_3letter2","drug_category1","drug_category2","targeted_cellular_process1","targeted_cellular_process2","use1","use2","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","drugdrug","categorycategory","processprocess","useuse","HDC_D1_ebw","HDC_D1_ecr","HDC_D1_stm","HDC_D1_seo","HDC_D1_pae","HDC_D1_pau","LF_D1_ebw","LF_D1_ecr","LF_D1_stm","LF_D1_seo","LF_D1_pae","LF_D1_pau","SR_D1_ebw","SR_D1_ecr","SR_D1_stm","SR_D1_seo","SR_D1_pae","SR_D1_pau","HDC_D2_ebw","HDC_D2_ecr","HDC_D2_stm","HDC_D2_seo","HDC_D2_pae","HDC_D2_pau","LF_D2_ebw","LF_D2_ecr","LF_D2_stm","LF_D2_seo","LF_D2_pae","LF_D2_pau","SR_D2_ebw","SR_D2_ecr","SR_D2_stm","SR_D2_seo","SR_D2_pae","SR_D2_pau","clusters","sigma.rate","drug_cat","targ","us","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","connection_onoff"
"Co-citation","Amoxicillin_Piperacillin",1.4,69.5,69.5,153.3,111.4,"1","Amoxicillin","Piperacillin","AMX","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.185511961,-0.293649022,-0.473645304,-0.594606308,0.314074822,0.081068472,"Synergy","Synergy","Synergy","Synergy","Antagonism","Additivity","Amoxicillin-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",13,0.00728211401611587,1,1,1,-1,-1,-1,-1,1,0,-3,"connected"
"Co-citation","Amoxicillin_Sulfamonomethoxine",2,69.6,69.6,127.8,98.7,"0","Amoxicillin","Sulfamonomethoxine","AMX","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.047994639,-0.046296549,-0.050586416,-0.089903089,-0.033508523,-0.034663075,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Amoxicillin-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",10,0.00194983040453027,0,0,1,0,0,0,0,0,0,0,"connected"
"Co-citation","Amoxicillin_Triclosan",2.8,12,12,111.4,61.7,"0","Amoxicillin","Triclosan","AMX","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.12002459,-0.112074375,0.053588973,-0.076335029,0.030824085,0.069918062,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Amoxicillin-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",5,0.00305904974808657,0,0,0,0,0,0,0,0,0,0,"connected"
"Co-citation","Amoxicillin_Trimethoprim",1.8,94.4,94.8,148.6,121.7,"1","Amoxicillin","Trimethoprim","AMX","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.168981691,0.092046379,0.115637791,0.093074035,-0.034292259,-0.025290124,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity","Amoxicillin-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",8,0.00192460283307052,0,0,1,-1,0,0,0,0,0,-1,"connected"
"Co-citation","Aztreonam_Cefaclor",1.4,69.5,69.5,153.3,111.4,"1","Aztreonam","Cefaclor","ATM","CEC","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.601241705,-0.540875146,-0.457219817,-0.371843254,-0.05145117,-0.05087855,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity","Aztreonam-Cefaclor","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,"S","S","S","S","R","R",13,0.00728211401611587,1,1,1,-1,-1,-1,-1,0,0,-4,"connected"
"Co-citation","Aztreonam_Cefotaxime",1.4,69.5,69.5,153.3,111.4,"1","Aztreonam","Cefotaxime","ATM","CTX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.155475145,-0.336561517,-0.02620361,-0.115233669,-0.090936121,-0.072521974,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Aztreonam-Cefotaxime","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,"S","S","R","R","S","R",13,0.00728211401611587,1,1,1,0,-1,0,0,0,0,-1,"connected"
"Co-citation","Aztreonam_Cephalexin",1.4,69.5,69.5,153.3,111.4,"1","Aztreonam","Cephalexin","ATM","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.044439867,-0.055188978,0.046077656,0.032785285,0.108489495,0.040785989,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Aztreonam-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,"R","R","R","R","R","R",9,0.00113943233689505,1,1,1,0,0,0,0,0,0,0,"connected"
"Co-citation","Aztreonam_Clindamycin",2,93.2,93.2,146.2,119.7,"0","Aztreonam","Clindamycin","ATM","CLI","beta-lactam","other protein synthesis inhibitor","cell wall","protein synthesis inhibitor","antibiotic","antibiotic",0.092358931,0.12723942,0.031006865,0.03129036,0.037227431,-0.049134199,"Additivity","Antagonism","Additivity","Additivity","Additivity","Additivity","Aztreonam-Clindamycin","beta-lactam-other protein synthesis inhibitor","cell wall-protein synthesis inhibitor","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",2,0.00359381023086882,0,0,1,0,1,0,0,0,0,1,"connected"
"Co-citation","Aztreonam_Doxycycline",1.8,111.4,111.4,254.5,182.95,"1","Aztreonam","Doxycycline","ATM","DOX","beta-lactam","tetracycline","cell wall","protein synthesis inhibitor","antibiotic","antibiotic",0.226435793,0.146331869,0.065060211,0.217643817,-0.066778415,-0.1192414,"Additivity","Additivity","Additivity","Antagonism","Additivity","Additivity","Aztreonam-Doxycycline","beta-lactam-tetracycline","cell wall-protein synthesis inhibitor","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,"S","S","S","S","R","S",2,0.00359381023086882,0,0,1,0,0,0,1,0,0,1,"connected"
"Co-citation","Aztreonam_Imipenem",1.4,69.5,69.5,153.3,111.4,"1","Aztreonam","Imipenem","ATM","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.055647727,-0.167274742,-0.06413935,-0.069942261,0.41449373,0.149609192,"Additivity","Additivity","Additivity","Additivity","Antagonism","Synergy","Aztreonam-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",2,0.00359381023086882,1,1,1,0,0,0,0,1,-1,0,"connected"
"Co-citation","Aztreonam_Mecillinam",2,45.5,45.5,128.25,86.875,"0","Aztreonam","Mecillinam","ATM","MEC","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.106645663,-0.112402006,-0.213392723,-0.340075653,-0.06854588,0.038593499,"Additivity","Additivity","Synergy","Synergy","Additivity","Additivity","Aztreonam-Mecillinam","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,"S","S","S","S","R","R",13,0.00728211401611587,1,1,1,0,0,-1,-1,0,0,-2,"connected"
"Co-citation","Aztreonam_Meropenem",1.4,69.5,69.5,153.3,111.4,"1","Aztreonam","Meropenem","ATM","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.066902764,-0.114398819,-0.268912269,-0.148477209,0.053407092,-0.052100663,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Aztreonam-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,"S","S","S","S","S","S",13,0.00728211401611587,1,1,1,0,0,0,0,0,0,0,"connected"
"Co-citation","Aztreonam_Penicillin G",1.4,69.5,69.5,153.3,111.4,"1","Aztreonam","Penicillin G","ATM","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.241961917,-0.249976928,-0.039743293,0.043806868,-0.071174783,-0.037717709,"Synergy","Synergy","Additivity","Additivity","Additivity","Additivity","Aztreonam-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",13,0.00728211401611587,1,1,1,-1,-1,0,0,0,0,-2,"connected"
"Co-citation","Aztreonam_Piperacillin",1.4,69.5,69.5,153.3,111.4,"1","Aztreonam","Piperacillin","ATM","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.053355493,-0.121160695,0.128948557,-0.33471982,-0.149094916,-0.264765758,"Additivity","Additivity","Additivity","Synergy","Additivity","Synergy","Aztreonam-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",13,0.00728211401611587,1,1,1,0,0,0,-1,0,-1,-2,"connected"
"Co-citation","Aztreonam_Sulfamonomethoxine",2,69.6,69.6,127.8,98.7,"0","Aztreonam","Sulfamonomethoxine","ATM","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.132319334,-0.133433702,0.052662782,0.113159173,0.046057832,0.054357816,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Aztreonam-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",4,0.00125176157439658,0,0,1,0,0,0,0,0,0,0,"connected"
"Co-citation","Aztreonam_Triclosan",2.8,12,12,111.4,61.7,"0","Aztreonam","Triclosan","ATM","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.044586976,0.028322768,-0.029074005,-0.070143999,-0.055022251,0.02135433,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Aztreonam-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",11,0.00134096342190378,0,0,0,0,0,0,0,0,0,0,"connected"
"Co-citation","Aztreonam_Trimethoprim",1.8,94.4,94.8,148.6,121.7,"1","Aztreonam","Trimethoprim","ATM","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.110201345,0.240060197,0.125510127,0.071394699,0.067658294,0.10073066,"Additivity","Antagonism","Antagonism","Additivity","Additivity","Additivity","Aztreonam-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",2,0.00359381023086882,0,0,1,0,1,1,0,0,0,2,"connected"
"Co-citation","Cefaclor_Cefotaxime",1.4,69.5,69.5,153.3,111.4,"1","Cefaclor","Cefotaxime","CEC","CTX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.091854508,-0.205169976,-0.209889693,-0.09547083,-0.062511121,-0.072831418,"Additivity","Synergy","Synergy","Additivity","Additivity","Additivity","Cefaclor-Cefotaxime","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,"S","S","S","S","R","R",0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,"S","S","R","R","S","R",13,0.00728211401611587,1,1,1,0,-1,-1,0,0,0,-2,"connected"
"Co-citation","Cefaclor_Cephalexin",1.4,69.5,69.5,153.3,111.4,"1","Cefaclor","Cephalexin","CEC","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.066321953,-0.029873516,-0.097987431,-0.043807158,-0.04474955,0.021518299,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Cefaclor-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,"S","S","S","S","R","R",10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,"R","R","R","R","R","R",10,0.00194983040453027,1,1,1,0,0,0,0,0,0,0,"connected"
"Co-citation","Cefaclor_Clindamycin",2,93.2,93.2,146.2,119.7,"0","Cefaclor","Clindamycin","CEC","CLI","beta-lactam","other protein synthesis inhibitor","cell wall","protein synthesis inhibitor","antibiotic","antibiotic",0.046321413,-0.053127118,0.054480617,0.085484566,0.034362743,-0.027718244,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Cefaclor-Clindamycin","beta-lactam-other protein synthesis inhibitor","cell wall-protein synthesis inhibitor","antibiotic-antibiotic",1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,"S","S","S","S","R","R",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",9,0.00113943233689505,0,0,1,0,0,0,0,0,0,0,"connected"
"Co-citation","Cefaclor_Doxycycline",1.8,111.4,111.4,254.5,182.95,"1","Cefaclor","Doxycycline","CEC","DOX","beta-lactam","tetracycline","cell wall","protein synthesis inhibitor","antibiotic","antibiotic",-0.069637616,-0.077987088,-0.066622094,0.029364431,0.037633366,-0.052863909,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Cefaclor-Doxycycline","beta-lactam-tetracycline","cell wall-protein synthesis inhibitor","antibiotic-antibiotic",1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,"S","S","S","S","R","R",0.5,0.5,1,1,4,4,0.42,0,0.55,0.4,0.85,0.5,"S","S","S","S","R","S",4,0.00125176157439658,0,0,1,0,0,0,0,0,0,0,"connected"
"Co-citation","Cefaclor_Imipenem",1.4,69.5,69.5,153.3,111.4,"1","Cefaclor","Imipenem","CEC","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.134147079,-0.104391079,-0.331819959,-0.214308066,-0.078322077,-0.03735207,"Additivity","Additivity","Synergy","Synergy","Additivity","Additivity","Cefaclor-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,"S","S","S","S","R","R",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",13,0.00728211401611587,1,1,1,0,0,-1,-1,0,0,-2,"connected"
"Co-citation","Cefaclor_Mecillinam",2,45.5,45.5,128.25,86.875,"0","Cefaclor","Mecillinam","CEC","MEC","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.20308159,-0.207187862,-0.510073655,-0.614446299,0.041077697,-0.035142123,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity","Cefaclor-Mecillinam","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,"S","S","S","S","R","R",0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,"S","S","S","S","R","R",13,0.00728211401611587,1,1,1,-1,-1,-1,-1,0,0,-4,"connected"
"Co-citation","Cefaclor_Meropenem",1.4,69.5,69.5,153.3,111.4,"1","Cefaclor","Meropenem","CEC","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.210192993,-0.121529073,-0.678603064,-0.154458054,0.045858466,-0.047589679,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity","Cefaclor-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,"S","S","S","S","R","R",0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,"S","S","S","S","S","S",13,0.00728211401611587,1,1,1,0,0,-1,0,0,0,-1,"connected"
